relabel_group,sample_count,sample_error_count,sample_error_rate,sample_error_rate_ci_low,sample_error_rate_ci_high,aspect_total,aspect_error_count,aspect_error_rate,aspect_error_rate_ci_low,aspect_error_rate_ci_high
fallback,60,51,0.85,0.7388517410884038,0.9190265075770431,360,79,0.21944444444444444,0.17977669432786364,0.2650366530188939
hard,2100,1734,0.8257142857142857,0.8088981665443956,0.8413409008834946,12600,3320,0.2634920634920635,0.2558729136856242,0.27125538662560794
medium,566,432,0.7632508833922261,0.7265285565381671,0.7964237867095004,3396,678,0.19964664310954064,0.18654485200321114,0.21342719375327351
random,274,193,0.7043795620437956,0.6478221261234812,0.7552852559244193,1644,308,0.1873479318734793,0.1692229716124632,0.20693065868792487
