aspect,aspect_slug,true_none_count,pred_none_count,none_overprediction_ratio,none_precision,none_recall,none_f1
dịch vụ,service,1103,1652,1.4977334542157752,0.6198547215496368,0.928377153218495,0.7433756805807622
khách sạn,hotel,1688,923,0.5468009478672986,0.7746478873239436,0.4235781990521327,0.5476828801225584
phòng ốc,rooms,1123,1261,1.1228851291184327,0.689928628072958,0.7747105966162066,0.7298657718120806
vệ sinh,cleanliness,1308,1882,1.4388379204892967,0.6594048884165781,0.9487767584097859,0.7780564263322884
vị trí,location,1581,1947,1.2314990512333965,0.7925012840267077,0.9759645793801391,0.8747165532879818
đồ ăn thức uống,food_drinks,2352,2266,0.9634353741496599,0.9633715798764343,0.9281462585034014,0.9454309224772629
