"hotel_id","hotel_name","url","address","rating_score","review_count_hotel_urls","total_reviews_in_output_results","removed_reviews_in_step2","kept_reviews_in_step2"
"33967888","Nhà riêng 55 m² 2 phòng ngủ, 2 phòng tắm riêng ở Phước Mỹ (**S&D House**Central of Da Nang/Near Han River)","https://www.agoda.com/vi-vn/sd-house-central-of-da-nang-near-han-river/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=595a5e38-fe10-4e1e-a19d-c8e26ccb816d","Xuân Hà, Đà Nẵng - cách trung tâm 99 m","9.5","202.0","4","4","0"
"46167169","Win's Homestay","https://www.agoda.com/vi-vn/win-s-homestay/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=f28b2348-345c-46b6-abc0-d103ff0b1c4f","Hải Châu, Đà Nẵng - cách trung tâm 2,7 km","9.3","150.0","4","4","0"
"22236209","Khu nghỉ dưỡng Purama Đà Nẵng (Purama Resort Danang)","https://www.agoda.com/vi-vn/modern-villa-4-bedrooms-in-furama-resort-danang/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=6&searchrequestid=1ef78a49-6379-45e6-bbc2-98bda077c626","Hòa Hải, Đà Nẵng - cách trung tâm 4,7 km","9.2","250.0","2","2","0"
"51621511","Căn hộ 60 m² 6 phòng ngủ, 6 phòng tắm riêng ở Hải Châu (URI HOUSE/ walk to Dragon Bridge/ 5'drive MYKHE)","https://www.agoda.com/vi-vn/urihouse/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=b5cdca31-0afa-4bab-bd95-d721f6e2ace6","Hải Châu, Đà Nẵng - cách trung tâm 0,4 km","9.5","125.0","2","2","0"
"19897602","Sense Villa by Enspired Vietnam","https://www.agoda.com/vi-vn/vnbv-sense-villa-da-nang/hotel/all/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=1cb2a481-c416-47f9-803c-7d5050b4248b","Hòa Hải, Đà Nẵng - cách trung tâm 3,6 km","9.5","103.0","1","1","0"
"52046021","Golden Sun Hotel","https://www.agoda.com/vi-vn/golden-sun-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=d0789dec-453d-4711-ad4f-3039d3baaf39","Phước Mỹ, Đà Nẵng - cách trung tâm 1,8 km","8.4","147.0","1","1","0"
"64258373","Khách sạn ELC Đà Nẵng (ELC Da Nang Hotel)","https://www.agoda.com/vi-vn/fansipan-da-nang-hotel-h49383943/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=786b5488-bc25-435a-92a0-387c1ecbf96a","Phước Mỹ, Đà Nẵng - cách trung tâm 3,3 km","8.5","232.0","1","1","0"
"76235942","Biệt thự m² 3 phòng ngủ, 3 phòng tắm riêng ở An Hải Bắc (Indochine House | Near My Khe Beach | City Center)","https://www.agoda.com/vi-vn/indochine-house-3-mins-to-beach-managed-by-the-key/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=5346e7e7-5f37-4f02-b2c7-c5adf05817e7","Phước Mỹ, Đà Nẵng - cách trung tâm 2,0 km","10.0","158.0","1","1","0"
