name,url,id,rating_score,review_count,address
KOI Resort & Residence Đà Nẵng - Bao gồm sử dụng Spa (KOI Resort & Residence Da Nang - Inclusive Spa access),https://www.agoda.com/vi-vn/koi-resort-and-residence-da-nang/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=ddc835d7-e83e-4dd5-91a2-1909b3d0cc9d,49391882,8.5,761.0,"Hòa Hải, Đà Nẵng - cách trung tâm 7,8 km"
Khách sạn Sea Front (Sea Front Hotel),https://www.agoda.com/vi-vn/sea-front-hotel-h31655733/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=ddc835d7-e83e-4dd5-91a2-1909b3d0cc9d,40683832,8.1,406.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,1 km"
Wyndham Soleil Đà Nẵng - Dịch vụ đưa đón sân bay miễn phí (Wyndham Soleil Danang - Free Schedule Airport Shuttle),https://www.agoda.com/vi-vn/wyndham-soleil-danang/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=ddc835d7-e83e-4dd5-91a2-1909b3d0cc9d,74957819,8.4,550.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,1 km"
Khách sạn Orchide'es Ocean (Orchide'es Ocean Hotel),https://www.agoda.com/vi-vn/orchide-es-ocean-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=4&los=6&searchrequestid=ddc835d7-e83e-4dd5-91a2-1909b3d0cc9d,58578022,8.5,142.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,0 km"
Khách sạn Hải Triều (HẢI TRIỀU HOTEL),https://www.agoda.com/vi-vn/h-i-tri-u-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=9&los=6&searchrequestid=ddc835d7-e83e-4dd5-91a2-1909b3d0cc9d,31658605,8.4,580.0,"An Hải Bắc, Đà Nẵng - cách trung tâm 1,7 km"
Muong Thanh Luxury Apartment Seaview,https://www.agoda.com/vi-vn/muong-thanh-luxury-apartment-seaview/hotel/all/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=ddc835d7-e83e-4dd5-91a2-1909b3d0cc9d,41995664,8.0,426.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,5 km"
Khách sạn Avatar Đà Nẵng (Avatar DaNang Hotel ),https://www.agoda.com/vi-vn/avatar-hotel_2/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=2&los=6&searchrequestid=ddc835d7-e83e-4dd5-91a2-1909b3d0cc9d,64030158,9.0,260.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,7 km"
Khách sạn Oriental Đà Nẵng (Oriental Danang),https://www.agoda.com/vi-vn/oriental-danang/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=1&los=6&searchrequestid=ddc835d7-e83e-4dd5-91a2-1909b3d0cc9d,67895221,8.8,303.0,"Hải Châu, Đà Nẵng - cách trung tâm 0,4 km"
Khách sạn Chavana (Hotel Chavana),https://www.agoda.com/vi-vn/hotel-chavana/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=70f896bb-3041-484e-b59b-6671c7beda1e,76933716,9.2,125.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,5 km"
Khách sạn HT Beach (HT Beach Hotel),https://www.agoda.com/vi-vn/hotel-da-nang-hai-trieu/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=1&los=6&searchrequestid=70f896bb-3041-484e-b59b-6671c7beda1e,55893431,9.4,284.0,"An Hải Bắc, Đà Nẵng - cách trung tâm 1,7 km"
Khách sạn Leaf Beachfront Đà Nẵng (Leaf Beachfront Hotel Da Nang),https://www.agoda.com/vi-vn/the-leaf-boutique/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=70f896bb-3041-484e-b59b-6671c7beda1e,30977594,8.8,714.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,2 km"
Khách sạn Lunar Đà Nẵng (Lunar Hotel Da Nang),https://www.agoda.com/vi-vn/golden-sea-3-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1908612&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=6&searchrequestid=70f896bb-3041-484e-b59b-6671c7beda1e,1265819,7.9,214.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,1 km"
